"date","north_value","east_value"
"2016-02-09","67329.5184","55342.582"
"2016-02-10","67329.5196","55342.5862"
"2016-02-11","67329.5184","55342.5847"
"2016-02-12","67329.5185","55342.5846"
"2016-02-13","67329.5186","55342.5849"
"2016-02-14","67329.5178","55342.5847"
"2016-02-15","67329.5174","55342.5849"
"2016-02-16","67329.5184","55342.5844"
"2016-02-17","67329.5182","55342.5855"
"2016-02-18","67329.5192","55342.5852"
"2016-02-19","67329.5178","55342.585"
"2016-02-20","67329.5181","55342.5853"
"2016-02-21","67329.5185","55342.5855"
"2016-02-22","67329.5195","55342.5848"
"2016-02-23","67329.5189","55342.5848"
"2016-02-24","67329.5181","55342.5852"
"2016-02-25","67329.5182","55342.5846"
"2016-02-26","67329.5174","55342.5849"
"2016-02-27","67329.5174","55342.5854"
"2016-02-28","67329.5173","55342.5847"
"2016-02-29","67329.517","55342.5847"
"2016-03-01","67329.5178","55342.5861"
"2016-03-02","67329.5164","55342.5858"
"2016-03-03","67329.5174","55342.5857"
"2016-03-04","67329.5171","55342.5854"
"2016-03-05","67329.5174","55342.5855"
"2016-03-06","67329.5174","55342.5855"
"2016-03-07","67329.5174","55342.5851"
"2016-03-08","67329.518","55342.5857"
"2016-03-09","67329.5178","55342.5854"
"2016-03-10","67329.5171","55342.5853"
"2016-03-11","67329.5183","55342.5846"
"2016-03-12","67329.5185","55342.5844"
"2016-03-13","67329.5166","55342.5838"
"2016-03-14","67329.5169","55342.5837"
"2016-03-15","67329.5182","55342.5837"
"2016-03-16","67329.5163","55342.5833"
"2016-03-17","67329.5132","55342.5823"
"2016-03-18","67329.5169","55342.585"
"2016-03-19","67329.5181","55342.5853"
"2016-03-20","67329.5173","55342.5856"
"2016-03-21","67329.5174","55342.5846"
"2016-03-22","67329.5172","55342.5852"
"2016-03-23","67329.5178","55342.5854"
"2016-03-24","67329.5191","55342.584"
"2016-03-25","67329.5174","55342.5849"
"2016-03-26","67329.5182","55342.5836"
"2016-03-27","67329.5175","55342.5852"
"2016-03-28","67329.5181","55342.5854"
"2016-03-29","67329.5158","55342.5825"
"2016-03-30","67329.517","55342.5834"
"2016-03-31","67329.5171","55342.5845"
"2016-04-01","67329.518","55342.5848"
"2016-04-02","67329.518","55342.5856"
"2016-04-03","67329.5191","55342.5847"
"2016-04-04","67329.5175","55342.5857"
"2016-04-05","67329.5167","55342.585"
"2016-04-06","67329.5157","55342.5851"
"2016-04-07","67329.5177","55342.5848"
"2016-04-08","67329.5158","55342.5845"
"2016-04-09","67329.5143","55342.587"
"2016-04-10","67329.5176","55342.5847"
"2016-04-11","67329.5174","55342.585"
"2016-04-12","67329.5195","55342.5844"
"2016-04-13","67329.5166","55342.5837"
"2016-04-14","67329.5174","55342.5855"
"2016-04-15","67329.5175","55342.5829"
"2016-04-16","67329.5173","55342.5833"
"2016-04-17","67329.5174","55342.5834"
"2016-04-18","67329.5168","55342.5833"
"2016-04-19","67329.5167","55342.5867"
"2016-04-20","67329.5185","55342.5838"
"2016-04-21","67329.518","55342.5834"
"2016-04-22","67329.5179","55342.5841"
"2016-04-23","67329.5179","55342.585"
"2016-04-24","67329.5171","55342.5845"
"2016-04-25","67329.5167","55342.5845"
"2016-04-26","67329.5152","55342.5855"
"2016-04-27","67329.5162","55342.5856"
"2016-04-28","67329.5176","55342.585"
"2016-04-29","67329.5203","55342.5814"
"2016-04-30","67329.5194","55342.5826"
"2016-05-01","67329.5182","55342.5868"
"2016-05-02","67329.5164","55342.5857"
"2016-05-03","67329.5192","55342.5836"
"2016-05-04","67329.517","55342.5869"
"2016-05-05","67329.5174","55342.585"
"2016-05-06","67329.5164","55342.576"
"2016-05-07","67329.5171","55342.5842"
"2016-05-08","67329.5188","55342.5812"
"2016-05-09","67329.5185","55342.5803"
"2016-05-10","67329.5212","55342.5829"
"2016-05-11","67329.5179","55342.5844"
"2016-05-12","67329.5172","55342.583"
"2016-05-13","67329.5178","55342.5857"
"2016-05-14","67329.5176","55342.5833"
"2016-05-15","67329.5165","55342.5838"
"2016-05-16","67329.5178","55342.5847"
"2016-05-17","67329.5177","55342.5805"
"2016-05-18","67329.5178","55342.5853"
"2016-05-19","67329.5175","55342.5841"
"2016-05-20","67329.5168","55342.5856"
"2016-05-21","67329.5163","55342.5845"
"2016-05-22","67329.5175","55342.5841"
"2016-05-23","67329.5185","55342.5829"
"2016-05-24","67329.5186","55342.5851"
"2016-05-25","67329.5146","55342.5837"
"2016-05-26","67329.5156","55342.5868"
"2016-05-27","67329.5151","55342.586"
"2016-05-28","67329.5203","55342.5854"
"2016-05-29","67329.5142","55342.5849"
"2016-05-30","67329.5165","55342.5871"
"2016-05-31","67329.5167","55342.584"
"2016-06-01","67329.5174","55342.5843"
"2016-06-02","67329.5144","55342.5837"
"2016-06-03","67329.5158","55342.5844"
"2016-06-04","67329.5139","55342.5851"
"2016-06-05","67329.5172","55342.5854"
"2016-06-06","67329.5158","55342.5834"
"2016-06-07","67329.5185","55342.5865"
"2016-06-08","67329.5176","55342.5839"
"2016-06-09","67329.517","55342.5846"
"2016-06-10","67329.5133","55342.5854"
"2016-06-11","67329.5176","55342.5837"
"2016-06-12","67329.5174","55342.5847"
"2016-06-13","67329.5167","55342.5862"
"2016-06-14","67329.5162","55342.5828"
"2016-06-15","67329.5172","55342.5862"
"2016-06-16","67329.5181","55342.5838"
"2016-06-17","67329.5168","55342.5846"
"2016-06-18","67329.5189","55342.5848"
"2016-06-19","67329.5196","55342.5866"
"2016-06-20","67329.5182","55342.5875"
"2016-06-21","67329.5152","55342.5833"
"2016-06-22","67329.518","55342.5848"
"2016-06-23","67329.5164","55342.5852"
"2016-06-24","67329.5181","55342.5856"
"2016-06-25","67329.516","55342.5838"
"2016-06-26","67329.5156","55342.5855"
"2016-06-27","67329.5127","55342.5854"
"2016-06-28","67329.5171","55342.5824"
"2016-06-29","67329.5166","55342.5838"
"2016-06-30","67329.5234","55342.5853"
"2016-07-01","67329.5168","55342.5837"
"2016-07-02","67329.5177","55342.5832"
"2016-07-03","67329.5148","55342.5847"
"2016-07-04","67329.5163","55342.5831"
"2016-07-05","67329.5179","55342.5854"
"2016-07-06","67329.5173","55342.5855"
"2016-07-07","67329.5217","55342.584"
"2016-07-08","67329.5172","55342.5838"
"2016-07-09","67329.5171","55342.5858"
"2016-07-10","67329.5198","55342.5832"
"2016-07-11","67329.5167","55342.5823"
"2016-07-12","67329.5141","55342.5866"
"2016-07-13","67329.5155","55342.5854"
"2016-07-14","67329.5153","55342.5817"
"2016-07-15","67329.5152","55342.5852"
"2016-07-16","67329.5149","55342.5808"
"2016-07-17","67329.5179","55342.583"
"2016-07-18","67329.5145","55342.5816"
"2016-07-19","67329.5171","55342.5832"
"2016-07-20","67329.5187","55342.582"
"2016-07-21","67329.5169","55342.5831"
"2016-07-22","67329.5169","55342.5851"
"2016-07-23","67329.5137","55342.5866"
"2016-07-24","67329.513","55342.5816"
"2016-07-25","67329.5174","55342.5818"
"2016-07-26","67329.5175","55342.5796"
"2016-07-27","67329.5183","55342.5841"
"2016-07-28","67329.5159","55342.5841"
"2016-07-29","67329.5175","55342.5829"
"2016-07-30","67329.5166","55342.5831"
"2016-07-31","67329.5179","55342.5832"
"2016-08-01","67329.5199","55342.5843"
"2016-08-02","67329.5148","55342.5828"
"2016-08-03","67329.5153","55342.5827"
"2016-08-04","67329.5136","55342.5835"
"2016-08-05","67329.5174","55342.5819"
"2016-08-06","67329.5189","55342.5821"
"2016-08-07","67329.5156","55342.5848"
"2016-08-08","67329.5124","55342.5817"
"2016-08-09","67329.5186","55342.5857"
"2016-08-10","67329.5151","55342.584"
"2016-08-11","67329.518","55342.5835"
"2016-08-12","67329.5182","55342.5839"
"2016-08-13","67329.516","55342.5833"
"2016-08-14","67329.518","55342.5867"
"2016-08-15","67329.5159","55342.5841"
"2016-08-16","67329.5162","55342.5829"
"2016-08-17","67329.5153","55342.5845"
"2016-08-18","67329.5122","55342.5869"
"2016-08-19","67329.5163","55342.5856"
"2016-08-20","67329.5159","55342.5861"
"2016-08-21","67329.5169","55342.5844"
"2016-08-22","67329.5145","55342.5845"
"2016-08-23","67329.5117","55342.5842"
"2016-08-24","67329.517","55342.5827"
"2016-08-25","67329.5137","55342.5843"
"2016-08-26","67329.5156","55342.5828"
"2016-08-27","67329.5158","55342.5862"
"2016-08-28","67329.5147","55342.5845"
"2016-08-29","67329.515","55342.5846"
"2016-08-30","67329.5149","55342.5858"
"2016-08-31","67329.5168","55342.5826"
"2016-09-01","67329.5152","55342.5856"
"2016-09-02","67329.517","55342.5859"
"2016-09-03","67329.5187","55342.5835"
"2016-09-04","67329.5176","55342.5841"
"2016-09-05","67329.519","55342.5848"
"2016-09-06","67329.5197","55342.5849"
"2016-09-07","67329.514","55342.5841"
"2016-09-08","67329.5141","55342.587"
"2016-09-09","67329.5149","55342.5842"
"2016-09-10","67329.5168","55342.5848"
"2016-09-11","67329.5152","55342.5851"
"2016-09-12","67329.517","55342.584"
"2016-09-13","67329.5135","55342.5851"
"2016-09-14","67329.5162","55342.5854"
